artist_id,artist_popularity
00EO3ANoojVxVuQ28pUVAT,16
00FQb4jTyendYWaN8pK0wa,91
00me4Ke1LsvMxt5kydlMyU,73
00xU4wfephkJrjwJPDvfkf,53
021sXp6RH5MQCCp2hmal6q,43
0274yz3YLvjWaqA8dhoPDv,20
02A3cEvlLLCbIMVDrK2GHV,55
02RgHAzh0DVNQR24lBuGOI,41
1d3ddJGqIC75OXxC3dIEb7,22
0JJ5TK4o8IGxYub8jXrxwW,0
7MruksIuWAiqH1CNEa51D9,38
02kJSzxNuaWGqwubyUba0Z,75
02vT04WkgQ8dO4f1GLMTP9,58
03GruNQP8X25PCoWzdvIGZ,61
03T8GHHcCEtcfnjbP5aHLg,48
03bZv2soJ4tPiZYlXON8Cz,23
03d2mJXSMtuPI0nIvLnhoS,66
03viIgoUyg6gfAcID5hRCm,40
042sjIstxjQz7xhDkEayIE,21
047UnCFE2OuyfRR2kx0o5j,29
04TgnlIyHhI5eGhmrhUHCQ,22
04abdnqPQe2N4fjztDea6z,57
04asJ5NL3DkTYcns86h02I,0
04gDigrS5kc9YWfZHwBETP,85
04m3oUGzjO3EJTQidFzTgM,63
053fl1QPQFGqSPPxSPcacT,38
05DD2jrwqfXiyDk3wDG8Yb,17
05KjvP5zdwtEIgEazqblZw,59
05SdqPzK4m3k1ljK2wrTSP,52
05TvjXcgQveeF7wh2DBHvp,49
05YVYeV4HxYp5rrWalvuE1,63
05oH07COxkXKIMt6mIPRee,64
060TqET6tyyfAQLXDyIDD8,45
06HL4z0CvFAxyc27GXpf02,100
06XDzzi31mBGSsaAABTZLb,53
06ezMzQs6hP65feMAjteNY,38
072QZuLtCqlAesYnOGY7lN,48
07Asx51VtMw5kbNXKrpZlq,56
07YUOmWljBTXwIseAUd9TW,81
07YZf4WDAMNwqr4jfgOZ8y,79
07sMHU0vu01xrz1gnNrNry,39
08GQAI4eElDnROBrJRGE0X,81
08PvCOlef4xdOr20jFSTPd,67
08ZqXO40nMrhBoGma4kls2,57
08jCyIC4E6iQjr4nrd1yDA,49
08p782h5VznNEQMM4wAEp9,46
09JJrjk6Mr5ZYwk1mk7aEb,51
09Xydf4dlkr29dH99DmsvQ,54
09agIJMxCD2k87ys9Al0f0,69
09fzXm3J90djEB1QdcID45,20
0A0FS04o6zMoto8OKPsDwY,74
0A9T67lakyVmzzPIdTqsUd,36
0ADcJlEKYSn2b1CZRiUBZ5,2
0AsThoR4KZSVktALiNcQwW,58
0B3N0ZINFWvizfa8bKiz4v,65
0BHo5QBLAjH32hoe4xHGYq,46
0BdqSoiFVJSplPq3KSySFz,51
0BmLNz4nSLfoWYW1cYsElL,61
0BmvxtDrOs00Vz9Jp48mZu,14
0Br4l2km0ic7BSsNh1E5h4,35
0BuvqDNQaCHcKJLCbK0M3P,29
0BwDkaGxADxhYYEXKmymdh,6
0C8ZW7ezQVs4URX5aX7Kqx,84
0CLdPh0gCvXGzPTLGn8f6n,27
0CbeG1224FS58EUx4tPevZ,71
0Cmknn37HGLC9KrGfeKx7M,3
0CmvFWTX9zmMNCUi6fHtAx,60
0Cp8WN4V8Tu4QJQwCN5Md4,66
0DBdeqMrwMOQtnVCswSYX6,0
0DbBBj0ScPumRqKXswGQH1,53
0DnjaQqb436AH1idffI6CQ,53
0Dt97GvTO4dxdBYqyxLwLY,40
0DwPrw4Zd15m2cdnpbwGKq,31
0EK9Z6BZkhp1tAR60mh8Jt,1
0EmeFodog0BfCgMzAIvKQp,89
0ErzCpIMyLcjPiwT4elrtZ,82
0F4rneT54YD3eaWYXUXvFM,30
0FrpdcVlJQqibaz5HfBUrL,59
0FsniWxk7B9Y5rOYxRrqiL,44
0FtsMKmZEq8fBWqdSOWtqp,63
0G30w5bGYq4LmC0L6bCOQQ,50
0GM7qgcRCORpGnfcN2tCiB,75
0H39MdGGX6dbnnQPt6NQkZ,69
0Hdj9rXnB5cahgEodATkrj,7
0HkcYmcjrBR3SCw9Ld5VZk,58
0HlxL5hisLf59ETEPM3cUA,66
0I6yADrmeyvw66g7yjkqIF,71
0IF46mUS8NXjgHabxk2MCM,63
0IiQOvnmgZpXMLB1fLVYko,21
0IyeWjNLB0Lxw0MgCEZtHw,38
0JBoAOvXNu0zco9DPeg9KD,25
0JFjWic1b9Mvv7WcNYhDvZ,34
5kPedB70NoaucwCvU7awih,0
0Jdu4KxR4ViDPoVn5VkoLh,21
0Jk0TeNXrhhwOMmR2nNyZR,56
0JnNzCUsHuDcUcBatOzuGP,50
0JqP06xsTN1rmZVgV7cEm8,33
0K3HwnyYaxoQO9hZCBLtOH,55
0KYOBAf6Zky4CFQne2JPTX,67
0Kk2TyRsy2ZPHXBYUx91Fd,0
0KpCz7V5XRkqKuM1JDf56O,50
0L5BtJ0tpOgMcQO94P26Tp,48
0MJzogKBA40WXWEIPGNZfp,16
0MlOPi3zIDMVrfA9R04Fe3,66
0NB5HROxc8dDBXpkIi1v3d,65
0NFlmEJpgyF2sO4mtlwFfl,42
0NGAZxHanS9e0iNHpR8f2W,78
0NIIxcxNHmOoyBx03SfTCD,67
0NIPkIjTV8mB795yEIiPYL,70
0NT8fqhPoKJrd038u1Qumz,52
0Njy6yR9LykNKYg9yE23QN,72
0NzM2Otx6eqCZZ1qkqkpdM,34
0OI69JToWA27DDNvB21821,11
0Oazwl71qoHvXnbSxv0wOT,54
0Of9D7A7yeMBccXYxLb3st,30
0Ol3Jol2T3lZZVLNNzWPhj,60
0P2SwYpgjmmZkMZ63nj82v,26
0PA28tQBY65NmvLi0xvuX9,43
0PLUhcaPtfTkL6ckBw0btt,53
0POkErJcpuhWNnCXAhgJoZ,36
0PxzGnCYBpSuaI49OR94cA,61
0Q7gK5T29pJT5TXXRdt2pP,30
0Q8NcsJwoCbZOHHW63su5S,82
0QHgL1lAIqAw0HtD7YldmP,76
0QK3rXIbRWEqxL0xJxvznz,0
0R4YpXgtQs80wg9EA2Z3pg,37
0RAWgVjsAEhbXPhqPGqd8n,37
0RGDVI8BLlpav7sViik5MU,44
0RHiqaoRCsFLPeEuj3OQz4,51
0RViEWnZO2VhmY4oI0PhF9,51
0RbCj3vtgrCSUPhLVtPkFk,20
0Re4W2GCbW1yoQmRWWqyLQ,0
0S2deWH67QwQaHV6MY7d0w,39
0SCbttzoZTnLFebDYmAWCm,69
0Scx1NxMnnRd5ra7aYKicB,0
0SfsnGyD8FpIN4U4WCkBZ5,74
0SwO7SWeDHJijQ3XNS7xEE,73
0T37oFURTpkWoGcWHjEcbR,37
0TAuJxwBthBIdrsm8wWJ0s,27
0TKFPt9w0AAEnhB9bd0pLy,69
0Tge1DJuyq67TiySAqnhLV,17
0TiohlngFk0tYdveiCXjoh,3
0TnOYISbd1XYRBk9myaseg,82
0U3b0BjITtQHwjwBVtiGcO,61
0VKTLKamj4IH8OfQbUL0kq,47
0VOfa8drf3sfLXmaLMX1iJ,24
0VRj0yCOv2FXJNP47XQnx5,79
0VZrPa7mWAYXH4CwmYk8Km,69
0Vw76uk7P8yVtTClWyOhac,65
0VxAPHwWkvVRCb5zSHI4Ag,30
0WK3H9OErSn5zKOkOV5egm,66
0WOxhx4hikIsyF3CRPLC8W,59
0WkKGLnA6bydqC4g98XFR3,0
0WleeEe3UurwlNbDGhb5Yz,54
0X2BH1fck6amBIoJhDVmmJ,81
0XNKQFs2Ewb3y0VsFUFc5l,61
0XOSmu9Qn1agQULUVe0dAK,45
0XRZp3XlKFzSQitm4UvUJe,9
0XmmX4fE4SiRMu3ICsP5sA,50
0Xtiyz6CUUVwXMa7lJ3eTk,0
0Y1nDqnjExJXZo4SYuzpgI,8
0Y5tJX1MQlPlqiwlOH1tJY,89
0Y6dVaC9DZtPNH4591M42W,79
0YEqYrtaoQS4IG1RzYuswC,0
0Ya43ZKWHTKkAbkoJJkwIB,64
0YinUQ50QDB7ZxSCLyQ40k,73
0Yr4BBpK2dkCp2UsrJ9LZN,62
0YrWkiT8pKvEu71t5Yllj7,39
0ZED1XzwlLHW4ZaG4lOT6m,74
0ZUvK7zGdXLd78mQr3t1Tw,68
0ZVAv3drBuIRSc88ATH6UK,50
0ZYv8jRFp5YAC29bfjaP9X,41
0ZhNhWeFYK2ZxuOPjWrcSS,0
0ZpbXB0r9gEkUuljKA1FTL,31
0a4r2EnsevvHCukoJ1xFwJ,53
0aaGmctmnPvISKrprVAtU8,40
0bBz5bRBkExaej2HxtVfCw,67
0bLxXoUrh0kANKQMWts8KV,34
0bNx2ooa8WvEzQxJYywh2X,1
0bTiNcg2aHJgozJZpKHyUH,1
0blbVefuxOGltDBa00dspv,67
0bzyhFojsIgDceZ4NQK9pY,33
0c173mlxpT3dSFRgMO8XPh,77
0c2cwdOEbkz41H31NHXaMH,28
0cHInYwq4GHrC3UotzgVQw,46
0ciYYtVA4U5kas1Q3CJeTA,27
0cuIIYEWDS7V1iBl65NtL6,53
0cwmNvclzPd8mQnoHuIksj,63
0dGhJPFQ0tA54qfYS3Bw82,20
0dLWi48ewntjhwF5nmJFn1,19
0daugAjUgbJSqdlyYNwIbT,64
0dcxj82ddksd6tDDcJgbqo,50
0deIjoDjl9g9Zpw0sCIOHh,55
0dlDsD7y6ccmDm8tuWCU6F,75
0du5cEVh5yTK9QJze8zA0C,87
0e86yPdC41PGRkLp2Q1Bph,72
0eDvMgVFoNV3TpwtrVCoTj,82
0epOFNiUfyON9EYx7Tpr6V,76
0etbdwzpEQsBS8nzcs8hho,2
0eulFYzjHkalG4jALSAQAo,17
0f2YkMXwFNJNSX7MymevKE,67
0f5nVCcR06GX8Qikz0COtT,65
0fA0VVWsXO9YnASrzqfmYu,80
0fEj1fYIQwWj1bzzAto9rp,49
0fHAJrdOubsQ6TiUmmR34c,23
0fcI5JpHvX0QVd0cwvjWZp,9
0fgDt47PS4OFVEO7Xgjl5t,0
0gBvuNzrFCOVaiyKexoYMH,56
0gCGZZ1Ibo5QsOnll977PD,51
0gb2lYBf4MTCUlqoAmDTX4,18
0gg11prPP6OqtUvBcKnPpq,56
0goAkRbqjvGdCHsTN0ToOL,35
0hCNtLu0JehylgoiP8L4Gh,86
0hEurMDQu99nJRq8pTxO14,77
0hP7lKMgHHuXcFgSX1T25m,18
0hddgNuylJx8anIpnR7MJA,0
0huGjMyP507tBCARyzSkrv,69
0iEtIxbK0KxaSlF7G42ZOp,89
0iOVhN3tnSvgDbcg25JoJb,67
0icjnvOhvT9hktbxVOUogI,41
0ijXDXPqvo3fzBrGpVjpV4,30
0imE3buPhAowREqCrr4CYe,58
0io0zWpbQm5kKw5SjeCNTO,26
0iqkVK6sTXi7DZWWOeKy8Q,55
0itKTaTB3xwSl5Na3TdXM5,18
0iui2Be5CP8EWxvHYsVspL,55
0jL5A3JBu46MsYrr5JMPuT,50
0jRqFvRKCDryHOgrgFqsKG,58
0jZCd5FFBIaaiXlIJX6I9h,53
0jnsk9HBra6NMjO2oANoPY,78
0jowzILNRrPmfpajO2iWmz,19
0kRAKgEOVI43Qkz9PLmPt8,48
0kRb2OhvXmS14Bop8FzFoS,20
0ky35RFIp2iNa8TTfGWBAa,1
0l0rBEfLsuKegoMfFSgUDV,16
0lHoDF96DNKSIcIpcOfMnq,55
0lPZJTNurUF05u2JHm48cH,37
0le01dl1WllSHhjEXRl4in,61
0lslA51eKXwTUY0TSX9Emy,38
0mFSEc32ollCTlw9LDEKjc,0
0mJXVw5EeYaDNz0tIzFXzp,1
0mXTJETA4XUa12MmmXxZJh,62
0mYBT2Ek76Szd4MqbCgT5R,35
0mZbFsWo9tHccJsYkrIczQ,39
0mqt171ipcjglLoaC66zJO,20
0n4a5imdLBN24fIrBWoqrv,60
0n6sKrG0xKAf8xmdqeNGke,62
0ndm6JWcrLhnmrbVzSGi0b,49
0o6LCZEfbT14B1FOlpN828,23
0oNrNJk1WEVKDpbz4bw54T,34
0oPeHAZ3BpdlD8EyeBLady,55
0oXTS2yHUnuji1R7kc9J9a,60
0odPXKGYqtTpiWJFBhqyVB,57
0ojgcvasAUtJXXV8ddYQNt,45
0p4nmQO2msCgU4IF37Wi3j,76
0pQGruzS2qDKZKC2brjxA9,38
0pg0Zm8FsGAYy5kdHuBnSo,67
0pvhBvl3SFpzhahmYfqcPo,27
0q3QpDWFc2LKrLF9ur3iMM,33
0qYINfX1wOzCw0roXbul4X,8
0r7PsZB4ePA6vHrW4agoGN,27
0rCcQIjZ7TfeeXyUFBlTAY,41
0rQjJGZLXBq95OA3nSmDj9,42
0rUq829p7JPVGfnSCDpARg,26
0rZRTXEmmPmx6gt92tBqIc,69
0regODbTxcC0qiBxfcpYH3,32
